trial_number,value,state,duration,lr,batch_size,lambda1_metaweight,lambda4
0,2.0107629552512662e-06,COMPLETE,0:00:02.214208,0.0020655538508122877,168,1.187299457981016,0.39858520043159057
1,1.9195659283933968,PRUNED,0:00:02.914319,2.154286570859562e-05,53,0.9011540095784696,1.0965417461468756
2,1.398476635373157,PRUNED,0:00:04.758780,0.013620064515368482,13,0.8037485904636185,0.4584308300035549
3,2.0136546936555533e-06,COMPLETE,0:00:02.174192,0.001626566068216457,231,0.9622933790832944,1.495656262622868
4,2.002244627874461e-06,COMPLETE,0:00:02.047375,2.4172481704160973e-05,256,0.6341865139861287,1.081708396533006
5,2.055767481579096e-06,COMPLETE,0:00:02.527730,0.0011705659916415763,125,0.8924988107870154,0.4560745228777746
6,3.619507392247518,PRUNED,0:00:02.798210,0.0898277610138876,72,0.7313063783452716,0.8233582940528987
7,1.9882254491676576e-06,COMPLETE,0:00:02.718100,0.00012466702443702146,109,1.1529577846545873,1.9763186450207038
8,2.182332991651492e-06,COMPLETE,0:00:04.245973,0.0002253860208359495,37,0.7591244028722897,0.14098507784739203
9,10.723228682004489,PRUNED,0:00:02.459855,0.03118881351491158,23,1.286519971287491,1.7913220987787217
10,1.2109600955789739,PRUNED,0:00:00.896064,0.006499267967146813,143,0.8578906493699658,1.2762489294020574
11,4.451840140973218e-06,COMPLETE,0:00:02.579831,0.001044467395602942,72,0.7305391872905657,1.2766937837429262
12,15317.748986318707,PRUNED,0:00:00.072964,0.03567121663841767,193,1.0952522249837995,1.8447799830173912
13,1.9456416964530945,PRUNED,0:00:00.303313,1.7571609437389685e-06,191,0.7709666026170207,0.7648941203359606
14,1.7801674207051594,PRUNED,0:00:00.508508,0.000491664016197574,125,0.8182199657460528,1.0875606070560506
15,30847.412323781424,PRUNED,0:00:00.055860,0.04984132467570313,233,1.3267778907435943,1.9498870851698693
16,97.96608141490391,PRUNED,0:00:00.054381,0.004596736206338033,236,0.5117498398218424,0.3589714742821442
17,1.9407840808232626,PRUNED,0:00:00.428373,1.011906518197187e-06,106,1.4893301116220141,1.5286863986922916
18,1.9443869113922119,PRUNED,0:00:00.442818,3.344169225382437e-05,100,1.4623576832563332,1.6257344575651231
19,0.8219407452158181,PRUNED,0:00:12.242319,6.933182092173862e-05,9,1.4273602098321556,1.5555717735162329
20,1.9425008296966553,PRUNED,0:00:00.484769,5.119960522727833e-05,86,1.471386602292817,1.5558407576619502
21,2.022324679273879e-06,COMPLETE,0:00:09.258837,7.1814358352128e-05,15,0.5330582328863043,1.632059735216755
22,1.7361151821473066,PRUNED,0:00:01.806501,5.7922319387512144e-05,22,0.5541884140167865,0.8250798097680665
23,1.9436396875164725,PRUNED,0:00:01.398307,6.7070775813210945e-06,17,0.6261953346026433,0.1799139664947147
24,1.8028763267729018,PRUNED,0:00:00.947534,0.00013262607853501183,42,0.5561521891049408,0.7150166703891336
25,1.9374886274337768,PRUNED,0:00:00.370041,9.934226661449711e-05,155,0.6233558394777996,0.7270454371896806
26,1.9459598511457443,PRUNED,0:00:00.320924,4.402246741276902e-06,200,1.042738424096549,0.1296712011364991
27,1.9492987990379333,PRUNED,0:00:00.250595,6.723428373104436e-06,254,1.0536950369631872,0.9020957961927738
28,1.9438734981748793,PRUNED,0:00:00.292859,0.00017081143638998523,179,1.181826685430046,0.13750063999510526
29,1.9788620604409113,PRUNED,0:00:00.235067,0.0002427100816306382,183,1.1287409572137515,0.20491434890279414
30,1.945173978805542,PRUNED,0:00:00.279286,0.00018879176174815525,168,1.181400837648739,0.10201542512579742
31,1.929222333431244,PRUNED,0:00:00.340452,0.0002307560457065366,151,1.176917458631236,1.342362364771258
32,1.970150113105774,PRUNED,0:00:00.220048,0.00023811324000250057,172,1.1925695835945058,1.2613228894966866
33,2.8551374276479087,PRUNED,0:00:00.131302,0.0004898216796222511,167,1.2413127397635861,1.4002967155808526
34,1.956593930721283,PRUNED,0:00:00.375634,1.2379539527410447e-05,164,1.218806403911119,1.2280153864542185
35,1.9484997229142622,PRUNED,0:00:00.325366,1.5554573753716362e-05,140,1.3747996105516476,1.2890839371160223
36,1.9503122121095657,PRUNED,0:00:00.339089,1.357066470346665e-05,210,0.959703164253714,0.6179961923571791
37,1.960251972079277,PRUNED,0:00:00.334650,1.6293275842793968e-05,211,0.9563849828699169,0.9713411779510133
38,24.34580535548074,PRUNED,0:00:00.070369,0.001575864819590539,221,0.9535180309099908,0.9967615522152639
39,1.9312215000391006,PRUNED,0:00:00.333342,1.3785995961644299e-05,212,0.9657832597127135,1.672067318678432
40,125.31523269414902,PRUNED,0:00:00.073937,0.003516049184765075,210,1.3235115515182854,0.5902503837279742
41,44.39207199215889,PRUNED,0:00:00.073008,0.002369783320109634,212,0.9686980569374488,0.5368522646774113
42,1734.8699593742688,PRUNED,0:00:00.069640,0.013000561721650046,251,0.9888183508519052,1.6754402305211267
43,847.7638004422188,PRUNED,0:00:00.093653,0.008669425571578486,250,1.1154704506052506,1.7194166585843753
44,1248.8093764185905,PRUNED,0:00:00.076001,0.011582344546183839,251,0.8994461814744231,1.7286480852158843
45,781.5696658747537,PRUNED,0:00:00.071834,0.009979934889253608,238,0.8974751044120102,1.707188564184048
46,8.471323081425258,PRUNED,0:00:00.077732,0.0008666639195429885,237,0.8891924601052577,1.761950999854176
47,7.691256284713745,PRUNED,0:00:00.096885,0.000718447247969718,233,1.125710876900928,1.9084210174390417
48,2.497571553502764,PRUNED,0:00:00.196585,0.0007120787256527763,109,0.7187923217399904,0.3773760158126969
49,6.425014349130484,PRUNED,0:00:00.081960,0.0009270903315423021,116,0.7099474054560566,0.43643086395421604
50,2.2885678181281457,PRUNED,0:00:00.180216,0.0006298996585771601,123,0.7393453419864797,0.3486670702581295
51,2.6304316153893104,PRUNED,0:00:00.170339,0.0007488313161492529,121,0.7217415237613076,0.33717075570168015
52,9.7125104367733,PRUNED,0:00:00.091028,0.0014054053430644134,126,0.7165982186140337,0.3644531621949272
53,10.415677398443222,PRUNED,0:00:00.106050,0.0015138615083668569,130,0.8196840429879764,0.2977550353041979
54,13.593304203904193,PRUNED,0:00:00.116850,0.0018841609442786207,67,1.2653831448582042,0.28537704323132906
55,35.92371331242954,PRUNED,0:00:00.100831,0.002656834919017219,90,0.8386815279340365,1.1696051461051722
56,1.9559577107429504,PRUNED,0:00:00.268144,0.0004147915644471048,98,1.028012057871504,1.1455141056861744
57,4.053277280036127e-06,COMPLETE,0:00:02.970547,0.0004135926334914483,61,0.6589081175210192,0.23396481723147833
58,1.7469579922525507,PRUNED,0:00:00.715405,0.000381954126945424,80,1.035409236325849,1.148217218863605
59,1.9399795201089647,PRUNED,0:00:00.445310,5.928159130451216e-05,83,0.8494168107859916,1.1580441280320126
60,1.9024075627326966,PRUNED,0:00:00.962135,7.810799353686793e-05,38,0.6634568043603339,1.169364747957525
61,1.9192684275763376,PRUNED,0:00:00.897007,6.843760086431849e-05,43,0.6415092944987936,1.4377129171705467
62,1.8962635935806647,PRUNED,0:00:00.978886,8.145920028789758e-05,37,0.6649783724051581,1.4626922851241935
63,3160.252809097027,PRUNED,0:00:00.196194,0.023296610693271057,53,0.6386384687545111,1.8820976665348852
64,2.2777278445573756e-06,COMPLETE,0:00:14.335713,0.00011458224512679927,9,0.7910524494949094,1.471690406918601
65,0.7765227926354255,PRUNED,0:00:16.896913,0.00010325274859093701,4,0.7745280874381127,1.459332942683905
66,126.43543533980846,PRUNED,0:00:00.069964,0.004681409746332251,193,0.7673495286278325,1.5649237479927405
67,1.9456747770309448,PRUNED,0:00:00.291287,3.3522630862333085e-05,140,0.772712387501536,0.8397191422846063
68,1.7556427717208862,PRUNED,0:00:03.608660,2.7994896741009587e-05,7,0.5826138277470406,1.0581693731025394
69,3.27710404235404e-06,COMPLETE,0:00:14.110141,0.00012843413405699334,9,0.5799043425726634,1.052322482466993
70,1.9138914087544316,PRUNED,0:00:00.608000,0.00012483138593674016,65,0.5915941640536626,0.25816182295216794
71,147.08502495730366,PRUNED,0:00:00.128268,0.005782121448417626,56,1.0687777092394264,1.980026363033484
72,1.9492594344275338,PRUNED,0:00:00.228297,3.200906723039606e-05,226,0.573151363541973,1.055099801554762
73,9.549671304225921,PRUNED,0:00:00.069559,0.0011433380460773208,152,0.6825600684060614,1.352594932414944
74,6.4634424866207185,PRUNED,0:00:00.657940,0.0030750564330206047,6,0.7936640977876082,0.462216464232879
75,4.457193881535204e-06,COMPLETE,0:00:05.768888,0.0003552967633727381,24,0.9300937426995617,0.20645235781437477
76,3.1192728329187958e-06,COMPLETE,0:00:04.540743,0.0002704481018657139,32,0.5273711014857871,0.2138141065982473
77,3.715211960297893e-06,COMPLETE,0:00:05.444129,0.0003035913226502246,28,0.5349407834362611,0.21015390647058557
78,4.323175744502805e-06,COMPLETE,0:00:07.806242,0.00030214511307935044,18,0.5385277820022603,0.1907770591043954
79,1.3142946196926966,PRUNED,0:00:01.377975,0.00014596939658789024,28,0.5063031641676777,1.845144067762354
80,1.9291700758511507,PRUNED,0:00:00.714371,4.3982729020682757e-05,19,0.5002682934521954,1.7969559112594253
81,1.9270155849781903,PRUNED,0:00:00.790065,4.5630258753757226e-05,17,0.5509696936645297,0.13691441203942556
82,4.5540487008111086e-06,COMPLETE,0:00:07.557379,0.0002760486294204112,18,0.5465881050539819,0.13335776050582177
