Wed Aug 13 10:23:11 PDT 2025
activating
starting vanilla cp
Using cpu device
Epoch [0/200], Train Loss: 0.2014 | Test Loss: 0.2037 | LR: [0.002482884780966882]| Epoch Time: 2.112952709197998 s
Recon: 0.1630 | dx: 0.0382 | dz: 0.0001 | 
Epoch [1/200], Train Loss: 0.1974 | Test Loss: 0.2104 | LR: [0.002482884780966882]| Epoch Time: 1.0295536518096924 s
Recon: 0.1599 | dx: 0.0374 | dz: 0.0001 | 
Epoch [2/200], Train Loss: 0.1952 | Test Loss: 0.2162 | LR: [0.002482884780966882]| Epoch Time: 0.9992635250091553 s
Recon: 0.1582 | dx: 0.0369 | dz: 0.0001 | 
Epoch [3/200], Train Loss: 0.1940 | Test Loss: 0.2257 | LR: [0.002482884780966882]| Epoch Time: 0.8253662586212158 s
Recon: 0.1571 | dx: 0.0367 | dz: 0.0001 | 
Epoch [4/200], Train Loss: 0.1929 | Test Loss: 0.2261 | LR: [0.002482884780966882]| Epoch Time: 0.824042797088623 s
Recon: 0.1562 | dx: 0.0366 | dz: 0.0001 | 
Epoch [5/200], Train Loss: 0.1919 | Test Loss: 0.2329 | LR: [0.002482884780966882]| Epoch Time: 0.7929549217224121 s
Recon: 0.1555 | dx: 0.0363 | dz: 0.0001 | 
Epoch [6/200], Train Loss: 0.1910 | Test Loss: 0.2367 | LR: [0.002482884780966882]| Epoch Time: 0.7907373905181885 s
Recon: 0.1547 | dx: 0.0362 | dz: 0.0001 | 
Epoch [7/200], Train Loss: 0.1899 | Test Loss: 0.2403 | LR: [0.002482884780966882]| Epoch Time: 0.8374001979827881 s
Recon: 0.1539 | dx: 0.0360 | dz: 0.0001 | 
Epoch [8/200], Train Loss: 0.1889 | Test Loss: 0.2448 | LR: [0.002482884780966882]| Epoch Time: 0.8395297527313232 s
Recon: 0.1531 | dx: 0.0358 | dz: 0.0001 | 
Epoch [9/200], Train Loss: 0.1877 | Test Loss: 0.2481 | LR: [0.002482884780966882]| Epoch Time: 0.8399624824523926 s
Recon: 0.1521 | dx: 0.0355 | dz: 0.0001 | 
Epoch [10/200], Train Loss: 0.1869 | Test Loss: 0.2522 | LR: [0.002482884780966882]| Epoch Time: 0.8413436412811279 s
Recon: 0.1514 | dx: 0.0354 | dz: 0.0001 | 
