Wed Aug 13 10:23:11 PDT 2025
activating
starting vanilla cp
Using cpu device
lambda: 1.0, 11608.17047624313, 116.08170476243131
Epoch [0/200], Train Loss: 0.1716 | Test Loss: 0.1742 | LR: [0.004204813405972317]| Epoch Time: 1.4024808406829834 s
Recon: 0.1688 | dx: 0.0025 | dz: 0.0003 | 
Epoch [1/200], Train Loss: 0.1634 | Test Loss: 0.1883 | LR: [0.004204813405972317]| Epoch Time: 1.206888198852539 s
Recon: 0.1622 | dx: 0.0010 | dz: 0.0001 | 
Epoch [2/200], Train Loss: 0.1624 | Test Loss: 0.1981 | LR: [0.004204813405972317]| Epoch Time: 1.1328742504119873 s
Recon: 0.1610 | dx: 0.0013 | dz: 0.0001 | 
Epoch [3/200], Train Loss: 0.1616 | Test Loss: 0.2025 | LR: [0.004204813405972317]| Epoch Time: 1.1448135375976562 s
Recon: 0.1600 | dx: 0.0014 | dz: 0.0001 | 
Epoch [4/200], Train Loss: 0.1608 | Test Loss: 0.2077 | LR: [0.004204813405972317]| Epoch Time: 1.1735858917236328 s
Recon: 0.1595 | dx: 0.0012 | dz: 0.0001 | 
Epoch [5/200], Train Loss: 0.1605 | Test Loss: 0.2189 | LR: [0.004204813405972317]| Epoch Time: 1.1793994903564453 s
Recon: 0.1584 | dx: 0.0019 | dz: 0.0002 | 
Epoch [6/200], Train Loss: 0.1589 | Test Loss: 0.2252 | LR: [0.004204813405972317]| Epoch Time: 1.1854426860809326 s
Recon: 0.1576 | dx: 0.0011 | dz: 0.0001 | 
Epoch [7/200], Train Loss: 0.1588 | Test Loss: 0.2239 | LR: [0.004204813405972317]| Epoch Time: 1.1815776824951172 s
Recon: 0.1572 | dx: 0.0014 | dz: 0.0002 | 
Epoch [8/200], Train Loss: 0.1581 | Test Loss: 0.2363 | LR: [0.004204813405972317]| Epoch Time: 1.1765148639678955 s
Recon: 0.1565 | dx: 0.0014 | dz: 0.0002 | 
Epoch [9/200], Train Loss: 0.1588 | Test Loss: 0.2367 | LR: [0.004204813405972317]| Epoch Time: 1.1792855262756348 s
Recon: 0.1562 | dx: 0.0023 | dz: 0.0003 | 
Epoch [10/200], Train Loss: 0.1572 | Test Loss: 0.2642 | LR: [0.004204813405972317]| Epoch Time: 1.3043806552886963 s
Recon: 0.1558 | dx: 0.0013 | dz: 0.0001 | 
Epoch [11/200], Train Loss: 0.1562 | Test Loss: 0.2642 | LR: [0.00042048134059723173]| Epoch Time: 1.1817231178283691 s
Recon: 0.1549 | dx: 0.0012 | dz: 0.0001 | 
Epoch [12/200], Train Loss: 0.1530 | Test Loss: 0.2642 | LR: [0.00042048134059723173]| Epoch Time: 1.1842308044433594 s
Recon: 0.1519 | dx: 0.0010 | dz: 0.0001 | 
Epoch [13/200], Train Loss: 0.1527 | Test Loss: 0.2673 | LR: [0.00042048134059723173]| Epoch Time: 1.177586555480957 s
Recon: 0.1516 | dx: 0.0010 | dz: 0.0001 | 
Epoch [14/200], Train Loss: 0.1527 | Test Loss: 0.2657 | LR: [0.00042048134059723173]| Epoch Time: 1.1833224296569824 s
Recon: 0.1515 | dx: 0.0010 | dz: 0.0001 | 
Epoch [15/200], Train Loss: 0.1526 | Test Loss: 0.2684 | LR: [0.00042048134059723173]| Epoch Time: 1.1799275875091553 s
Recon: 0.1515 | dx: 0.0010 | dz: 0.0001 | 
Epoch [16/200], Train Loss: 0.1525 | Test Loss: 0.2675 | LR: [0.00042048134059723173]| Epoch Time: 1.1871247291564941 s
Recon: 0.1514 | dx: 0.0010 | dz: 0.0001 | 
Epoch [17/200], Train Loss: 0.1525 | Test Loss: 0.2695 | LR: [0.00042048134059723173]| Epoch Time: 1.169278860092163 s
Recon: 0.1513 | dx: 0.0010 | dz: 0.0001 | 
Epoch [18/200], Train Loss: 0.1524 | Test Loss: 0.2688 | LR: [0.00042048134059723173]| Epoch Time: 1.279954195022583 s
Recon: 0.1513 | dx: 0.0010 | dz: 0.0001 | 
Epoch [19/200], Train Loss: 0.1524 | Test Loss: 0.2727 | LR: [0.00042048134059723173]| Epoch Time: 1.1712408065795898 s
Recon: 0.1512 | dx: 0.0010 | dz: 0.0001 | 
Epoch [20/200], Train Loss: 0.1523 | Test Loss: 0.2726 | LR: [0.00042048134059723173]| Epoch Time: 1.1754624843597412 s
Recon: 0.1512 | dx: 0.0010 | dz: 0.0001 | 
Epoch [21/200], Train Loss: 0.1522 | Test Loss: 0.2744 | LR: [0.00042048134059723173]| Epoch Time: 1.1718525886535645 s
Recon: 0.1511 | dx: 0.0010 | dz: 0.0001 | 
Epoch [22/200], Train Loss: 0.1522 | Test Loss: 0.2748 | LR: [4.2048134059723176e-05]| Epoch Time: 1.1668083667755127 s
Recon: 0.1511 | dx: 0.0010 | dz: 0.0001 | 
Epoch [23/200], Train Loss: 0.1518 | Test Loss: 0.2751 | LR: [4.2048134059723176e-05]| Epoch Time: 1.1664979457855225 s
Recon: 0.1507 | dx: 0.0010 | dz: 0.0001 | 
Epoch [24/200], Train Loss: 0.1517 | Test Loss: 0.2750 | LR: [4.2048134059723176e-05]| Epoch Time: 1.1658358573913574 s
Recon: 0.1506 | dx: 0.0010 | dz: 0.0001 | 
Epoch [25/200], Train Loss: 0.1517 | Test Loss: 0.2744 | LR: [4.2048134059723176e-05]| Epoch Time: 1.1667180061340332 s
Recon: 0.1506 | dx: 0.0010 | dz: 0.0001 | 
Epoch [26/200], Train Loss: 0.1517 | Test Loss: 0.2747 | LR: [4.2048134059723176e-05]| Epoch Time: 1.1678853034973145 s
Recon: 0.1506 | dx: 0.0010 | dz: 0.0001 | 
Epoch [27/200], Train Loss: 0.1517 | Test Loss: 0.2753 | LR: [4.2048134059723176e-05]| Epoch Time: 1.2757351398468018 s
Recon: 0.1506 | dx: 0.0010 | dz: 0.0001 | 
Epoch [28/200], Train Loss: 0.1517 | Test Loss: 0.2748 | LR: [4.2048134059723176e-05]| Epoch Time: 1.1748840808868408 s
Recon: 0.1506 | dx: 0.0010 | dz: 0.0001 | 
Epoch [29/200], Train Loss: 0.1517 | Test Loss: 0.2753 | LR: [4.2048134059723176e-05]| Epoch Time: 1.174405813217163 s
Recon: 0.1506 | dx: 0.0010 | dz: 0.0001 | 
Epoch [30/200], Train Loss: 0.1516 | Test Loss: 0.2751 | LR: [4.2048134059723176e-05]| Epoch Time: 1.1676886081695557 s
Recon: 0.1505 | dx: 0.0010 | dz: 0.0001 | 
Epoch [31/200], Train Loss: 0.1517 | Test Loss: 0.2752 | LR: [4.2048134059723176e-05]| Epoch Time: 1.1685676574707031 s
Recon: 0.1506 | dx: 0.0010 | dz: 0.0001 | 
