Wed Aug 13 10:23:11 PDT 2025
activating
starting vanilla cp
Using cpu device
lambda: 1.0, 12403.473406490746, 124.03473406490747
Epoch [0/200], Train Loss: 0.1573 | Test Loss: 0.1658 | LR: [0.00314227212817401]| Epoch Time: 1.8758258819580078 s
Recon: 0.1556 | dx: 0.0011 | dz: 0.0006 | 
Epoch [1/200], Train Loss: 0.1538 | Test Loss: 0.1721 | LR: [0.00314227212817401]| Epoch Time: 1.2984511852264404 s
Recon: 0.1522 | dx: 0.0011 | dz: 0.0005 | 
Epoch [2/200], Train Loss: 0.1525 | Test Loss: 0.1770 | LR: [0.00314227212817401]| Epoch Time: 1.4599647521972656 s
Recon: 0.1509 | dx: 0.0011 | dz: 0.0005 | 
Epoch [3/200], Train Loss: 0.1515 | Test Loss: 0.1794 | LR: [0.00314227212817401]| Epoch Time: 1.384934425354004 s
Recon: 0.1499 | dx: 0.0011 | dz: 0.0005 | 
Epoch [4/200], Train Loss: 0.1504 | Test Loss: 0.1851 | LR: [0.00314227212817401]| Epoch Time: 1.4197964668273926 s
Recon: 0.1488 | dx: 0.0011 | dz: 0.0005 | 
Epoch [5/200], Train Loss: 0.1498 | Test Loss: 0.1852 | LR: [0.00314227212817401]| Epoch Time: 1.2692453861236572 s
Recon: 0.1482 | dx: 0.0011 | dz: 0.0005 | 
Epoch [6/200], Train Loss: 0.1490 | Test Loss: 0.1868 | LR: [0.00314227212817401]| Epoch Time: 1.131868839263916 s
Recon: 0.1474 | dx: 0.0011 | dz: 0.0005 | 
Epoch [7/200], Train Loss: 0.1482 | Test Loss: 0.1894 | LR: [0.00314227212817401]| Epoch Time: 1.1268024444580078 s
Recon: 0.1466 | dx: 0.0011 | dz: 0.0005 | 
Epoch [8/200], Train Loss: 0.1477 | Test Loss: 0.1923 | LR: [0.00314227212817401]| Epoch Time: 1.1271703243255615 s
Recon: 0.1462 | dx: 0.0011 | dz: 0.0005 | 
Epoch [9/200], Train Loss: 0.1472 | Test Loss: 0.1940 | LR: [0.00314227212817401]| Epoch Time: 1.22782301902771 s
Recon: 0.1456 | dx: 0.0011 | dz: 0.0005 | 
Epoch [10/200], Train Loss: 0.1466 | Test Loss: 0.1947 | LR: [0.00314227212817401]| Epoch Time: 1.134565830230713 s
Recon: 0.1451 | dx: 0.0011 | dz: 0.0005 | 
Epoch [11/200], Train Loss: 0.1464 | Test Loss: 0.1977 | LR: [0.000314227212817401]| Epoch Time: 1.1307129859924316 s
Recon: 0.1449 | dx: 0.0011 | dz: 0.0005 | 
Epoch [12/200], Train Loss: 0.1441 | Test Loss: 0.1953 | LR: [0.000314227212817401]| Epoch Time: 1.1137402057647705 s
Recon: 0.1426 | dx: 0.0011 | dz: 0.0005 | 
Epoch [13/200], Train Loss: 0.1439 | Test Loss: 0.1959 | LR: [0.000314227212817401]| Epoch Time: 1.1291649341583252 s
Recon: 0.1424 | dx: 0.0011 | dz: 0.0005 | 
Epoch [14/200], Train Loss: 0.1439 | Test Loss: 0.1967 | LR: [0.000314227212817401]| Epoch Time: 1.1314239501953125 s
Recon: 0.1423 | dx: 0.0011 | dz: 0.0005 | 
Epoch [15/200], Train Loss: 0.1438 | Test Loss: 0.1962 | LR: [0.000314227212817401]| Epoch Time: 1.1302223205566406 s
Recon: 0.1422 | dx: 0.0011 | dz: 0.0005 | 
Epoch [16/200], Train Loss: 0.1437 | Test Loss: 0.1963 | LR: [0.000314227212817401]| Epoch Time: 1.1321649551391602 s
Recon: 0.1421 | dx: 0.0011 | dz: 0.0005 | 
Epoch [17/200], Train Loss: 0.1437 | Test Loss: 0.1968 | LR: [0.000314227212817401]| Epoch Time: 1.1326041221618652 s
Recon: 0.1421 | dx: 0.0011 | dz: 0.0005 | 
Epoch [18/200], Train Loss: 0.1436 | Test Loss: 0.1969 | LR: [0.000314227212817401]| Epoch Time: 1.1310293674468994 s
Recon: 0.1421 | dx: 0.0011 | dz: 0.0005 | 
Epoch [19/200], Train Loss: 0.1436 | Test Loss: 0.1973 | LR: [0.000314227212817401]| Epoch Time: 1.2285444736480713 s
Recon: 0.1420 | dx: 0.0011 | dz: 0.0005 | 
Epoch [20/200], Train Loss: 0.1435 | Test Loss: 0.1971 | LR: [0.000314227212817401]| Epoch Time: 1.134075403213501 s
Recon: 0.1420 | dx: 0.0011 | dz: 0.0005 | 
Epoch [21/200], Train Loss: 0.1435 | Test Loss: 0.1977 | LR: [0.000314227212817401]| Epoch Time: 1.1301794052124023 s
Recon: 0.1419 | dx: 0.0011 | dz: 0.0005 | 
Epoch [22/200], Train Loss: 0.1434 | Test Loss: 0.1978 | LR: [3.14227212817401e-05]| Epoch Time: 1.1324055194854736 s
