Tue Aug  5 14:17:59 PDT 2025
activating
starting vanilla cp
Using cpu device
lambda: 1.0, 11608.17047624313, 116.08170476243131
Epoch [0/200], Train Loss: 0.1684 | Test Loss: 0.1843 | LR: [0.004204813405972317]| Epoch Time: 2.0663719177246094 s
Recon: 0.1667 | dx: 0.0016 | dz: 0.0002 | 
Epoch [1/200], Train Loss: 0.1646 | Test Loss: 0.2052 | LR: [0.004204813405972317]| Epoch Time: 1.6778907775878906 s
Recon: 0.1629 | dx: 0.0016 | dz: 0.0002 | 
Epoch [2/200], Train Loss: 0.1634 | Test Loss: 0.2061 | LR: [0.004204813405972317]| Epoch Time: 1.6150760650634766 s
Recon: 0.1615 | dx: 0.0018 | dz: 0.0002 | 
Epoch [3/200], Train Loss: 0.1626 | Test Loss: 0.2142 | LR: [0.004204813405972317]| Epoch Time: 1.61513090133667 s
Recon: 0.1604 | dx: 0.0020 | dz: 0.0002 | 
Epoch [4/200], Train Loss: 0.1618 | Test Loss: 0.2210 | LR: [0.004204813405972317]| Epoch Time: 1.6260526180267334 s
Recon: 0.1596 | dx: 0.0019 | dz: 0.0002 | 
Epoch [5/200], Train Loss: 0.1630 | Test Loss: 0.2224 | LR: [0.004204813405972317]| Epoch Time: 1.6608710289001465 s
Recon: 0.1591 | dx: 0.0034 | dz: 0.0004 | 
Epoch [6/200], Train Loss: 0.1593 | Test Loss: 0.2306 | LR: [0.004204813405972317]| Epoch Time: 1.6991777420043945 s
Recon: 0.1580 | dx: 0.0012 | dz: 0.0001 | 
Epoch [7/200], Train Loss: 0.1591 | Test Loss: 0.2410 | LR: [0.004204813405972317]| Epoch Time: 1.705045223236084 s
Recon: 0.1571 | dx: 0.0018 | dz: 0.0002 | 
Epoch [8/200], Train Loss: 0.1594 | Test Loss: 0.2380 | LR: [0.004204813405972317]| Epoch Time: 1.7158312797546387 s
Recon: 0.1568 | dx: 0.0023 | dz: 0.0003 | 
Epoch [9/200], Train Loss: 0.1575 | Test Loss: 0.2386 | LR: [0.004204813405972317]| Epoch Time: 1.715031623840332 s
Recon: 0.1561 | dx: 0.0013 | dz: 0.0001 | 
Epoch [10/200], Train Loss: 0.1586 | Test Loss: 0.2406 | LR: [0.004204813405972317]| Epoch Time: 1.7746596336364746 s
Recon: 0.1558 | dx: 0.0025 | dz: 0.0003 | 
Epoch [11/200], Train Loss: 0.1571 | Test Loss: 0.2516 | LR: [0.00042048134059723173]| Epoch Time: 1.8494880199432373 s
Recon: 0.1552 | dx: 0.0017 | dz: 0.0002 | 
Epoch [12/200], Train Loss: 0.1515 | Test Loss: 0.2413 | LR: [0.00042048134059723173]| Epoch Time: 1.746504306793213 s
Recon: 0.1504 | dx: 0.0010 | dz: 0.0001 | 
Epoch [13/200], Train Loss: 0.1512 | Test Loss: 0.2414 | LR: [0.00042048134059723173]| Epoch Time: 1.7498128414154053 s
Recon: 0.1501 | dx: 0.0010 | dz: 0.0001 | 
Epoch [14/200], Train Loss: 0.1510 | Test Loss: 0.2407 | LR: [0.00042048134059723173]| Epoch Time: 1.8523356914520264 s
Recon: 0.1498 | dx: 0.0010 | dz: 0.0001 | 
Epoch [15/200], Train Loss: 0.1509 | Test Loss: 0.2440 | LR: [0.00042048134059723173]| Epoch Time: 1.91705322265625 s
Recon: 0.1498 | dx: 0.0010 | dz: 0.0001 | 
Epoch [16/200], Train Loss: 0.1509 | Test Loss: 0.2432 | LR: [0.00042048134059723173]| Epoch Time: 1.9273364543914795 s
Recon: 0.1498 | dx: 0.0010 | dz: 0.0001 | 
Epoch [17/200], Train Loss: 0.1507 | Test Loss: 0.2449 | LR: [0.00042048134059723173]| Epoch Time: 2.0028491020202637 s
Recon: 0.1496 | dx: 0.0010 | dz: 0.0001 | 
Epoch [18/200], Train Loss: 0.1507 | Test Loss: 0.2447 | LR: [0.00042048134059723173]| Epoch Time: 1.9536402225494385 s
Recon: 0.1495 | dx: 0.0010 | dz: 0.0001 | 
Epoch [19/200], Train Loss: 0.1505 | Test Loss: 0.2478 | LR: [0.00042048134059723173]| Epoch Time: 1.9620678424835205 s
Recon: 0.1494 | dx: 0.0010 | dz: 0.0001 | 
Epoch [20/200], Train Loss: 0.1505 | Test Loss: 0.2483 | LR: [0.00042048134059723173]| Epoch Time: 2.0966262817382812 s
Recon: 0.1493 | dx: 0.0010 | dz: 0.0001 | 
Epoch [21/200], Train Loss: 0.1504 | Test Loss: 0.2503 | LR: [0.00042048134059723173]| Epoch Time: 1.990074872970581 s
Recon: 0.1492 | dx: 0.0010 | dz: 0.0001 | 
Epoch [22/200], Train Loss: 0.1503 | Test Loss: 0.2501 | LR: [4.2048134059723176e-05]| Epoch Time: 2.1252872943878174 s
Recon: 0.1492 | dx: 0.0010 | dz: 0.0001 | 
Epoch [23/200], Train Loss: 0.1497 | Test Loss: 0.2507 | LR: [4.2048134059723176e-05]| Epoch Time: 2.0524609088897705 s
Recon: 0.1485 | dx: 0.0010 | dz: 0.0001 | 
Epoch [24/200], Train Loss: 0.1496 | Test Loss: 0.2505 | LR: [4.2048134059723176e-05]| Epoch Time: 2.0303025245666504 s
Recon: 0.1485 | dx: 0.0010 | dz: 0.0001 | 
Epoch [25/200], Train Loss: 0.1496 | Test Loss: 0.2501 | LR: [4.2048134059723176e-05]| Epoch Time: 2.0686700344085693 s
Recon: 0.1485 | dx: 0.0010 | dz: 0.0001 | 
Epoch [26/200], Train Loss: 0.1496 | Test Loss: 0.2505 | LR: [4.2048134059723176e-05]| Epoch Time: 2.269177198410034 s
Recon: 0.1485 | dx: 0.0010 | dz: 0.0001 | 
Epoch [27/200], Train Loss: 0.1496 | Test Loss: 0.2507 | LR: [4.2048134059723176e-05]| Epoch Time: 2.069849967956543 s
Recon: 0.1485 | dx: 0.0010 | dz: 0.0001 | 
Epoch [28/200], Train Loss: 0.1496 | Test Loss: 0.2506 | LR: [4.2048134059723176e-05]| Epoch Time: 2.0085647106170654 s
Recon: 0.1484 | dx: 0.0010 | dz: 0.0001 | 
Epoch [29/200], Train Loss: 0.1495 | Test Loss: 0.2509 | LR: [4.2048134059723176e-05]| Epoch Time: 2.0395262241363525 s
Recon: 0.1484 | dx: 0.0010 | dz: 0.0001 | 
Epoch [30/200], Train Loss: 0.1495 | Test Loss: 0.2510 | LR: [4.2048134059723176e-05]| Epoch Time: 2.007082462310791 s
Recon: 0.1484 | dx: 0.0010 | dz: 0.0001 | 
Epoch [31/200], Train Loss: 0.1496 | Test Loss: 0.2510 | LR: [4.2048134059723176e-05]| Epoch Time: 2.0505316257476807 s
