Tue Aug  5 16:45:13 PDT 2025
activating
starting vanilla cp
Using cpu device
Epoch [0/200], Train Loss: 0.2010 | Test Loss: 0.2090 | LR: [0.002482884780966882]| Epoch Time: 2.44448184967041 s
Recon: 0.1627 | dx: 0.0382 | dz: 0.0001 | 
Epoch [1/200], Train Loss: 0.1969 | Test Loss: 0.2192 | LR: [0.002482884780966882]| Epoch Time: 1.8364737033843994 s
Recon: 0.1594 | dx: 0.0373 | dz: 0.0001 | 
Epoch [2/200], Train Loss: 0.1950 | Test Loss: 0.2265 | LR: [0.002482884780966882]| Epoch Time: 1.4283316135406494 s
Recon: 0.1578 | dx: 0.0371 | dz: 0.0001 | 
Epoch [3/200], Train Loss: 0.1931 | Test Loss: 0.2326 | LR: [0.002482884780966882]| Epoch Time: 1.1778931617736816 s
Recon: 0.1563 | dx: 0.0366 | dz: 0.0001 | 
Epoch [4/200], Train Loss: 0.1917 | Test Loss: 0.2413 | LR: [0.002482884780966882]| Epoch Time: 1.2090682983398438 s
Recon: 0.1552 | dx: 0.0364 | dz: 0.0001 | 
Epoch [5/200], Train Loss: 0.1905 | Test Loss: 0.2434 | LR: [0.002482884780966882]| Epoch Time: 1.2394185066223145 s
Recon: 0.1542 | dx: 0.0362 | dz: 0.0001 | 
Epoch [6/200], Train Loss: 0.1894 | Test Loss: 0.2522 | LR: [0.002482884780966882]| Epoch Time: 1.2648627758026123 s
Recon: 0.1533 | dx: 0.0360 | dz: 0.0001 | 
Epoch [7/200], Train Loss: 0.1881 | Test Loss: 0.2509 | LR: [0.002482884780966882]| Epoch Time: 1.247650384902954 s
Recon: 0.1522 | dx: 0.0358 | dz: 0.0001 | 
Epoch [8/200], Train Loss: 0.1869 | Test Loss: 0.2559 | LR: [0.002482884780966882]| Epoch Time: 1.29384446144104 s
Recon: 0.1513 | dx: 0.0356 | dz: 0.0001 | 
Epoch [9/200], Train Loss: 0.1858 | Test Loss: 0.2618 | LR: [0.002482884780966882]| Epoch Time: 1.3165943622589111 s
Recon: 0.1503 | dx: 0.0353 | dz: 0.0001 | 
Epoch [10/200], Train Loss: 0.1850 | Test Loss: 0.2616 | LR: [0.002482884780966882]| Epoch Time: 1.2982943058013916 s
Recon: 0.1497 | dx: 0.0352 | dz: 0.0001 | 
Epoch [11/200], Train Loss: 0.1838 | Test Loss: 0.2647 | LR: [0.0002482884780966882]| Epoch Time: 1.4076595306396484 s
Recon: 0.1488 | dx: 0.0349 | dz: 0.0001 | 
Epoch [12/200], Train Loss: 0.1806 | Test Loss: 0.2644 | LR: [0.0002482884780966882]| Epoch Time: 1.2885913848876953 s
Recon: 0.1464 | dx: 0.0341 | dz: 0.0001 | 
Epoch [13/200], Train Loss: 0.1802 | Test Loss: 0.2642 | LR: [0.0002482884780966882]| Epoch Time: 1.395660638809204 s
Recon: 0.1461 | dx: 0.0340 | dz: 0.0001 | 
Epoch [14/200], Train Loss: 0.1802 | Test Loss: 0.2648 | LR: [0.0002482884780966882]| Epoch Time: 1.3969142436981201 s
Recon: 0.1461 | dx: 0.0340 | dz: 0.0001 | 
Epoch [15/200], Train Loss: 0.1799 | Test Loss: 0.2655 | LR: [0.0002482884780966882]| Epoch Time: 1.38916015625 s
Recon: 0.1459 | dx: 0.0339 | dz: 0.0001 | 
Epoch [16/200], Train Loss: 0.1798 | Test Loss: 0.2648 | LR: [0.0002482884780966882]| Epoch Time: 1.3914010524749756 s
Recon: 0.1458 | dx: 0.0339 | dz: 0.0001 | 
