Tue Aug  5 16:45:13 PDT 2025
activating
starting vanilla cp
Using cpu device
lambda: 1.0, 12403.473406490746, 124.03473406490747
Epoch [0/200], Train Loss: 0.1569 | Test Loss: 0.1713 | LR: [0.00314227212817401]| Epoch Time: 3.156503200531006 s
Recon: 0.1553 | dx: 0.0011 | dz: 0.0006 | 
Epoch [1/200], Train Loss: 0.1540 | Test Loss: 0.1780 | LR: [0.00314227212817401]| Epoch Time: 2.49480938911438 s
Recon: 0.1523 | dx: 0.0011 | dz: 0.0005 | 
Epoch [2/200], Train Loss: 0.1523 | Test Loss: 0.1830 | LR: [0.00314227212817401]| Epoch Time: 2.625917434692383 s
Recon: 0.1507 | dx: 0.0011 | dz: 0.0005 | 
Epoch [3/200], Train Loss: 0.1511 | Test Loss: 0.1884 | LR: [0.00314227212817401]| Epoch Time: 2.4931399822235107 s
Recon: 0.1495 | dx: 0.0011 | dz: 0.0005 | 
Epoch [4/200], Train Loss: 0.1500 | Test Loss: 0.1911 | LR: [0.00314227212817401]| Epoch Time: 2.5439674854278564 s
Recon: 0.1484 | dx: 0.0011 | dz: 0.0005 | 
Epoch [5/200], Train Loss: 0.1495 | Test Loss: 0.1952 | LR: [0.00314227212817401]| Epoch Time: 2.53328013420105 s
Recon: 0.1479 | dx: 0.0011 | dz: 0.0005 | 
Epoch [6/200], Train Loss: 0.1486 | Test Loss: 0.1974 | LR: [0.00314227212817401]| Epoch Time: 2.480358362197876 s
Recon: 0.1470 | dx: 0.0011 | dz: 0.0005 | 
Epoch [7/200], Train Loss: 0.1480 | Test Loss: 0.2033 | LR: [0.00314227212817401]| Epoch Time: 2.524005174636841 s
Recon: 0.1464 | dx: 0.0011 | dz: 0.0005 | 
Epoch [8/200], Train Loss: 0.1470 | Test Loss: 0.2016 | LR: [0.00314227212817401]| Epoch Time: 1.9326143264770508 s
Recon: 0.1454 | dx: 0.0011 | dz: 0.0005 | 
Epoch [9/200], Train Loss: 0.1461 | Test Loss: 0.2049 | LR: [0.00314227212817401]| Epoch Time: 2.012897253036499 s
Recon: 0.1445 | dx: 0.0011 | dz: 0.0005 | 
Epoch [10/200], Train Loss: 0.1460 | Test Loss: 0.2052 | LR: [0.00314227212817401]| Epoch Time: 1.9399657249450684 s
Recon: 0.1444 | dx: 0.0011 | dz: 0.0005 | 
Epoch [11/200], Train Loss: 0.1453 | Test Loss: 0.2072 | LR: [0.000314227212817401]| Epoch Time: 1.9360358715057373 s
Recon: 0.1438 | dx: 0.0011 | dz: 0.0005 | 
Epoch [12/200], Train Loss: 0.1425 | Test Loss: 0.2058 | LR: [0.000314227212817401]| Epoch Time: 1.9386610984802246 s
Recon: 0.1410 | dx: 0.0011 | dz: 0.0005 | 
Epoch [13/200], Train Loss: 0.1422 | Test Loss: 0.2067 | LR: [0.000314227212817401]| Epoch Time: 1.9362149238586426 s
Recon: 0.1407 | dx: 0.0011 | dz: 0.0005 | 
Epoch [14/200], Train Loss: 0.1421 | Test Loss: 0.2073 | LR: [0.000314227212817401]| Epoch Time: 1.9219725131988525 s
Recon: 0.1406 | dx: 0.0011 | dz: 0.0005 | 
Epoch [15/200], Train Loss: 0.1420 | Test Loss: 0.2067 | LR: [0.000314227212817401]| Epoch Time: 1.9364209175109863 s
Recon: 0.1405 | dx: 0.0011 | dz: 0.0005 | 
