Tue Aug  5 16:45:13 PDT 2025
activating
starting vanilla cp
Using cpu device
lambda: 1.0, 11608.17047624313, 116.08170476243131
Epoch [0/200], Train Loss: 0.1684 | Test Loss: 0.1843 | LR: [0.004204813405972317]| Epoch Time: 2.0147783756256104 s
Recon: 0.1667 | dx: 0.0016 | dz: 0.0002 | 
Epoch [1/200], Train Loss: 0.1646 | Test Loss: 0.2052 | LR: [0.004204813405972317]| Epoch Time: 1.688377857208252 s
Recon: 0.1629 | dx: 0.0016 | dz: 0.0002 | 
Epoch [2/200], Train Loss: 0.1634 | Test Loss: 0.2061 | LR: [0.004204813405972317]| Epoch Time: 1.5487689971923828 s
Recon: 0.1615 | dx: 0.0018 | dz: 0.0002 | 
Epoch [3/200], Train Loss: 0.1626 | Test Loss: 0.2142 | LR: [0.004204813405972317]| Epoch Time: 1.6100244522094727 s
Recon: 0.1604 | dx: 0.0020 | dz: 0.0002 | 
Epoch [4/200], Train Loss: 0.1618 | Test Loss: 0.2210 | LR: [0.004204813405972317]| Epoch Time: 1.6193013191223145 s
Recon: 0.1596 | dx: 0.0019 | dz: 0.0002 | 
Epoch [5/200], Train Loss: 0.1630 | Test Loss: 0.2224 | LR: [0.004204813405972317]| Epoch Time: 1.6080822944641113 s
Recon: 0.1591 | dx: 0.0034 | dz: 0.0004 | 
Epoch [6/200], Train Loss: 0.1593 | Test Loss: 0.2306 | LR: [0.004204813405972317]| Epoch Time: 1.6801984310150146 s
Recon: 0.1580 | dx: 0.0012 | dz: 0.0001 | 
Epoch [7/200], Train Loss: 0.1591 | Test Loss: 0.2410 | LR: [0.004204813405972317]| Epoch Time: 1.7001261711120605 s
Recon: 0.1571 | dx: 0.0018 | dz: 0.0002 | 
Epoch [8/200], Train Loss: 0.1594 | Test Loss: 0.2380 | LR: [0.004204813405972317]| Epoch Time: 1.7031855583190918 s
Recon: 0.1568 | dx: 0.0023 | dz: 0.0003 | 
Epoch [9/200], Train Loss: 0.1575 | Test Loss: 0.2386 | LR: [0.004204813405972317]| Epoch Time: 1.7075536251068115 s
Recon: 0.1561 | dx: 0.0013 | dz: 0.0001 | 
Epoch [10/200], Train Loss: 0.1586 | Test Loss: 0.2406 | LR: [0.004204813405972317]| Epoch Time: 1.7015223503112793 s
Recon: 0.1558 | dx: 0.0025 | dz: 0.0003 | 
Epoch [11/200], Train Loss: 0.1571 | Test Loss: 0.2516 | LR: [0.00042048134059723173]| Epoch Time: 1.81270170211792 s
