trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order
0,0.017958490177989006,COMPLETE,0:00:02.284859,0.0010085182177002356,211,4,2
1,0.017925282940268517,COMPLETE,0:00:02.865118,0.0018587159116264839,95,2,2
2,0.018096689134836197,COMPLETE,0:00:02.172799,0.00048128955797005854,190,3,2
3,1.6862129039234586,PRUNED,0:00:02.714721,9.153122195758014e-05,42,4,2
4,0.018169943243265152,COMPLETE,0:00:02.073112,0.00010405720225609811,208,1,2
5,1.203369290932365,PRUNED,0:00:02.770162,0.00016601057889852178,67,2,2
6,0.017863724380731583,COMPLETE,0:00:02.545851,0.0013501166955767587,129,2,2
7,0.018130751326680183,COMPLETE,0:00:02.431513,0.0002574290942210839,155,4,2
8,1.4696038166681926,PRUNED,0:00:01.600484,0.07403389774030936,252,4,3
9,2.3540327847003937,PRUNED,0:00:00.534657,3.74446027751566e-05,94,4,2
10,2.367487061023712,PRUNED,0:00:00.647019,1.4715913907488355e-06,25,2,3
11,2.3618780374526978,PRUNED,0:00:00.090882,0.0002151193530715832,255,3,3
12,2.6092572754079644,PRUNED,0:00:00.128386,0.02914356962246855,141,1,3
13,2.364656516483852,PRUNED,0:00:00.087022,1.1954884937983672e-05,218,3,2
14,2.367166042327881,PRUNED,0:00:00.111066,1.6976361051483827e-06,168,4,2
15,0.0177435502409935,COMPLETE,0:00:03.462770,0.013238756774406413,139,4,2
16,0.01780654862523079,COMPLETE,0:00:04.705671,0.006435629737844762,84,2,3
17,0.01788962259888649,COMPLETE,0:00:04.695027,0.007729028414616017,90,2,3
18,0.01770160160958767,COMPLETE,0:00:04.559650,0.007861671489167076,85,2,3
19,0.017598086968064308,COMPLETE,0:00:04.177592,0.004816692539383786,109,2,3
20,0.017658045515418053,COMPLETE,0:00:04.240363,0.004291489807099196,109,2,3
21,0.017757268622517586,COMPLETE,0:00:04.354557,0.004962871505882502,102,2,3
22,0.017731741070747375,COMPLETE,0:00:03.326419,0.0039173033147007165,106,2,2
23,0.47833488766963667,PRUNED,0:00:01.813970,0.006258777236594898,116,2,2
24,1.120845180291396,PRUNED,0:00:00.487607,0.009369171318471047,122,3,3
25,1.4395363628864288,PRUNED,0:00:00.341632,0.008547487889503082,96,1,3
26,0.8472719689210256,PRUNED,0:00:00.755281,0.007019015259944523,63,1,3
27,1.0433339113774507,PRUNED,0:00:00.546528,0.010705673288405687,66,1,3
28,0.8624800457195803,PRUNED,0:00:00.738132,0.012096937077760687,69,1,3
29,1.5030591736237209,PRUNED,0:00:00.445337,0.025243839943929383,64,3,3
30,1.5025156828073354,PRUNED,0:00:00.486126,0.028018675719141812,59,3,3
31,1.5679463672637939,PRUNED,0:00:00.501950,0.0391327996646165,61,3,3
32,1.5225257495554483,PRUNED,0:00:00.514316,0.03896712006585486,37,1,3
33,2.6602534012448404,PRUNED,0:00:01.688250,0.06380910890601685,4,3,3
34,98.01941555899543,PRUNED,0:00:00.215376,0.09414095199872526,41,3,3
35,2.7120119648821213,PRUNED,0:00:00.566741,0.09759123956385173,11,2,3
36,2.343809953102699,PRUNED,0:00:00.103563,0.002173465106113658,118,2,3
37,2.324461485658373,PRUNED,0:00:00.113371,0.0006415800332241558,114,2,3
38,2.366580537387303,PRUNED,0:00:00.100486,0.002773985990709242,111,2,3
39,0.0174881424754858,COMPLETE,0:00:24.463011,0.0026718158750674427,7,2,3
40,0.5656128433697364,PRUNED,0:00:05.684950,0.0006284637852438394,11,2,3
41,2.352198430470058,PRUNED,0:00:00.126764,0.0006816303703921376,107,2,3
42,2.311928851263864,PRUNED,0:00:00.098554,0.0027902760108832964,108,2,3
43,0.5057379978915189,PRUNED,0:00:13.686511,0.0008723335316497431,5,2,2
44,2.3352035760879515,PRUNED,0:00:00.099970,0.0007941427998996961,78,2,2
45,2.3326858043670655,PRUNED,0:00:00.067494,0.0008894419921823231,164,2,2
46,2.356059100892809,PRUNED,0:00:00.070120,0.0004043428922805508,176,2,2
47,0.4592858523190502,PRUNED,0:00:15.725481,0.0011805268322566662,6,2,2
48,0.9857111275196075,PRUNED,0:00:00.276516,0.018616815387009784,150,2,2
49,1.2022215236317029,PRUNED,0:00:00.226799,0.01625249862357572,139,2,2
50,1.4991450959985906,PRUNED,0:00:00.178640,0.017115295454055306,137,3,2
51,2.3397394960576836,PRUNED,0:00:00.072022,0.001370870000147705,141,3,2
52,1.9201520681381226,PRUNED,0:00:00.136391,0.0043503677840222585,133,4,2
53,2.343086620171865,PRUNED,0:00:00.093925,0.002974992386989578,135,4,2
54,2.3013532360394797,PRUNED,0:00:00.078026,0.0039440284176719,128,4,2
55,2.3283609449863434,PRUNED,0:00:00.070383,0.003682277554094123,187,2,2
56,2.323516845703125,PRUNED,0:00:00.097326,0.0015508486678626307,83,2,2
57,2.3175696399476795,PRUNED,0:00:00.090577,0.001771010733900828,83,2,2
58,2.307536706328392,PRUNED,0:00:00.102151,0.001887967725065286,99,2,3
59,0.5227510128170252,PRUNED,0:00:01.444455,0.0053169022170844234,99,2,3
60,2.3778489232063293,PRUNED,0:00:00.117531,4.9280733163038536e-05,94,2,3
61,0.017539197579026222,COMPLETE,0:00:02.499018,0.005026165684291267,102,2,3
62,6.668798605600993,PRUNED,0:00:00.099369,0.04976670513723542,102,2,3
