trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order
63,1.8804875373840333,PRUNED,0:00:00.123905,0.006122709414617904,150,1,3
64,0.017673736438155174,COMPLETE,0:00:02.088983,0.005951814093197918,124,2,3
65,1.8225435415903728,PRUNED,0:00:00.154436,0.0048245179674120476,125,2,3
66,0.01773642562329769,COMPLETE,0:00:03.033792,0.011830561789692443,77,2,3
67,1.440225487947464,PRUNED,0:00:00.289892,0.013278807162887197,77,1,3
68,0.5307019866175122,PRUNED,0:00:01.576826,0.008457233621408858,87,2,3
69,0.017839428037405014,COMPLETE,0:00:04.151562,0.010443144295377783,50,2,3
70,2.5827759229219875,PRUNED,0:00:00.092659,5.993195589132758e-06,122,2,3
71,0.0179155096411705,COMPLETE,0:00:02.760495,0.010254442950596417,91,2,3
72,0.7981660004173007,PRUNED,0:00:00.795546,0.02170538102165373,54,2,3
73,1.490227457015745,PRUNED,0:00:00.441539,0.024116516796364236,49,2,3
74,2.3104833705084666,PRUNED,0:00:00.116907,0.0010918952397025504,74,2,3
75,0.8320073985284374,PRUNED,0:00:00.869413,0.011127799269631929,49,2,3
76,2.3804378930260155,PRUNED,0:00:00.108487,0.00013501465541598912,89,2,3
77,2.3631659348805747,PRUNED,0:00:00.099466,0.010448908606617797,105,2,3
78,1.0183257460594177,PRUNED,0:00:00.310434,0.013077839417623211,115,2,3
79,2.38766754590548,PRUNED,0:00:00.087331,0.008319639943933265,122,2,3
80,1.5101139545440674,PRUNED,0:00:00.283174,0.03389703108509702,93,2,3
81,1.4905679659409956,PRUNED,0:00:00.252374,0.03548527968080158,147,3,3
82,2.295910943638195,PRUNED,0:00:00.098784,0.003437461848961975,147,3,3
83,2.327411583491734,PRUNED,0:00:00.085657,0.002389913775243048,229,3,3
84,2.293375321796962,PRUNED,0:00:00.089045,0.002482571570106892,110,1,3
85,1.3248511382511683,PRUNED,0:00:00.299125,0.00669205348626513,71,1,3
86,1.3467967794055031,PRUNED,0:00:00.298150,0.006521195084865697,71,1,3
87,1.0891048664396459,PRUNED,0:00:00.456420,0.006983843024586174,70,2,3
88,1.1018802239781333,PRUNED,0:00:00.484028,0.007142273905016009,73,2,3
89,2.305145843823751,PRUNED,0:00:00.098841,0.004754294430692943,103,2,3
90,2.2960268350747914,PRUNED,0:00:00.094036,0.004506118105821134,118,2,3
91,1.03227495153745,PRUNED,0:00:00.309907,0.014681096552955126,129,2,3
92,2.2980106234550477,PRUNED,0:00:00.081560,0.017917598471827476,159,2,3
93,2.306035578250885,PRUNED,0:00:00.071582,0.0033940746009060883,128,2,2
94,1.2940999170144398,PRUNED,0:00:00.209299,0.014407169574198945,130,2,2
95,2.357350128037589,PRUNED,0:00:00.114800,0.0011646252645180625,109,2,3
96,2.601373587335859,PRUNED,0:00:00.083829,0.055275912450228296,110,2,2
97,0.017621761187911034,COMPLETE,0:00:02.769108,0.005170621924377722,83,2,3
98,2.4689690815775016,PRUNED,0:00:00.122396,0.005354208574697923,82,2,3
99,0.01778411865234375,COMPLETE,0:00:02.772326,0.005345610756477231,84,2,3
100,0.017941566184163094,COMPLETE,0:00:02.878487,0.005341884652247273,84,2,3
101,2.3072421550750732,PRUNED,0:00:00.117339,0.0018993350961365345,99,2,3
102,1.746307717429267,PRUNED,0:00:00.199265,0.0033090296130516765,83,2,3
103,1.2051511481404305,PRUNED,0:00:00.362509,0.010035139308985152,99,2,3
104,0.01770486682653427,COMPLETE,0:00:03.124113,0.008396254506600823,118,4,3
105,2.3619111501253567,PRUNED,0:00:00.096325,0.0003072351417343338,115,2,3
106,0.017497258260846138,COMPLETE,0:00:03.993824,0.005595947124513353,86,4,3
107,0.017343318089842796,COMPLETE,0:00:04.284697,0.005394778604603144,79,4,3
108,0.42797091230750084,PRUNED,0:00:02.563546,0.005604785634930253,93,2,3
109,2.3058474957942963,PRUNED,0:00:00.110832,0.020342533581739715,95,2,3
110,2.3750738551219306,PRUNED,0:00:00.137743,0.0027714386892225412,64,2,3
111,0.01776389591395855,COMPLETE,0:00:03.141683,0.008353615139489628,77,2,3
112,0.017389658838510513,COMPLETE,0:00:03.544203,0.008310142375841703,104,4,3
113,1.0608026444911958,PRUNED,0:00:00.606657,0.008755334657435174,78,4,3
114,2.2739543272898746,PRUNED,0:00:00.125213,0.004051845321247792,120,4,3
115,1.3275079607963562,PRUNED,0:00:00.229220,0.008399078447151154,105,4,2
116,1.3705533981323241,PRUNED,0:00:00.229530,0.00787689169954398,106,4,2
117,1.5011172990004222,PRUNED,0:00:00.314159,0.011995164215349815,134,4,3
118,1.5152955405852373,PRUNED,0:00:00.400029,0.01272848475753139,89,4,3
119,2.24162118775504,PRUNED,0:00:00.126980,0.004021725936740151,113,4,3
120,2.35461833079656,PRUNED,0:00:00.116109,0.028197649407766097,124,4,3
121,2.292883555094401,PRUNED,0:00:00.134194,0.0022213253118101095,100,4,3
122,2.292654601010409,PRUNED,0:00:00.113555,0.0029832681885432312,142,4,3
123,2.31872575933283,PRUNED,0:00:00.113348,0.0022022286417684757,140,4,3
124,2.2867325727756205,PRUNED,0:00:00.202520,0.0013623021128388508,58,4,3
125,2.2842350050255105,PRUNED,0:00:00.207116,0.0013599406667127968,57,4,3
126,2.309725522994995,PRUNED,0:00:00.112173,0.003832295843402064,96,2,3
127,2.310413136482239,PRUNED,0:00:00.139311,0.0014215524297754856,60,2,3
128,2.207291701260735,PRUNED,0:00:00.111060,0.006477626950918979,90,2,3
129,1.2727715059330589,PRUNED,0:00:00.322587,0.016015711808123168,79,2,3
130,0.5317073211073875,PRUNED,0:00:01.521319,0.006413511447938524,78,2,3
131,2.2777861265035777,PRUNED,0:00:00.104595,0.015922691970475956,119,2,3
132,1.2487270534038544,PRUNED,0:00:00.318625,0.009121160375921126,76,2,3
133,0.9309768706560135,PRUNED,0:00:00.436891,0.009390308668691647,77,2,3
134,2.4254378846713474,PRUNED,0:00:00.116815,0.0077739644478093135,113,2,3
135,2.2228152751922607,PRUNED,0:00:00.151285,0.004429290706118045,104,4,3
136,2.2211730400721232,PRUNED,0:00:00.136913,0.004479273960347486,105,4,3
137,2.270179359118144,PRUNED,0:00:00.092501,0.004713096925203612,101,4,2
138,0.017082685604691505,COMPLETE,0:00:04.683041,0.006297145778792627,68,4,3
139,0.9752215255390514,PRUNED,0:00:00.462636,0.0059263572696690945,68,2,3
140,0.9819549078291113,PRUNED,0:00:00.484600,0.005633829528979704,68,2,3
141,0.9041538106070625,PRUNED,0:00:00.700291,0.006411140353460351,87,4,3
142,0.6509894761774275,PRUNED,0:00:00.961352,0.0059414257725764145,87,4,3
143,1.4142231941223145,PRUNED,0:00:00.400867,0.01210904112202529,88,4,3
144,2.265362724661827,PRUNED,0:00:00.143661,0.0032484634680381265,93,4,3
145,1.49939044082866,PRUNED,0:00:00.421189,0.022681364107955026,88,4,3
146,2.356021455356053,PRUNED,0:00:00.129686,7.280720876676224e-05,110,4,3
147,2.2027477100491524,PRUNED,0:00:00.115161,0.0072454004210961275,96,2,3
148,2.4182613641023636,PRUNED,0:00:00.111496,1.408199281663874e-05,96,2,3
149,0.9827069826424122,PRUNED,0:00:00.373957,0.010399218644505973,97,2,3
150,1.577451073206388,PRUNED,0:00:00.253403,0.011384792743019491,117,4,3
151,1.2521631029935985,PRUNED,0:00:00.349781,0.00995455736074934,117,4,3
152,2.202908972899119,PRUNED,0:00:00.093628,0.010854645425669067,126,2,3
153,0.913129293001615,PRUNED,0:00:00.258892,0.010813853409869194,117,2,2
154,2.31144065123338,PRUNED,0:00:00.084830,0.0034469768290517136,116,2,2
155,2.3021698792775473,PRUNED,0:00:00.089425,0.0033987482898010036,132,2,2
156,2.3126632145472934,PRUNED,0:00:00.118923,0.002757493465616027,108,2,3
157,2.2142518162727356,PRUNED,0:00:00.167186,0.004961162051489374,84,2,3
158,2.4797804167396142,PRUNED,0:00:00.126432,0.005055725333009865,82,2,3
159,2.4941406375483464,PRUNED,0:00:00.117928,0.004679832885562282,82,2,3
160,2.503554287709688,PRUNED,0:00:00.134084,0.004467136246469014,82,2,3
161,2.213346905178494,PRUNED,0:00:00.158315,0.004983055470495154,84,2,3
162,2.2308235736120317,PRUNED,0:00:00.129150,0.005288651979902492,73,2,3
163,0.017719952389597893,COMPLETE,0:00:03.168542,0.007819988077185343,73,2,3
164,1.2036805124509902,PRUNED,0:00:00.352968,0.0074554133319343656,73,2,3
165,0.9634823004404703,PRUNED,0:00:00.590409,0.007869645822601988,74,2,3
166,1.058069070180257,PRUNED,0:00:00.456568,0.008119318648419077,71,2,3
167,2.275067694981893,PRUNED,0:00:00.103986,0.008079030881510355,104,2,3
168,0.9952971736590067,PRUNED,0:00:00.444937,0.008042435474624098,74,2,3
169,0.017587384209036827,COMPLETE,0:00:03.613629,0.007382997068901618,65,2,3
170,0.9753398053786334,PRUNED,0:00:00.393910,0.01361558000978538,91,2,3
171,0.5756443984368268,PRUNED,0:00:00.846804,0.014775253806687845,91,2,3
172,1.5521576974702918,PRUNED,0:00:00.257701,0.014555708306242117,65,2,3
173,1.0985746173297657,PRUNED,0:00:00.387016,0.014095643868738543,92,2,3
174,1.5810835050499958,PRUNED,0:00:00.253994,0.016493415506011848,66,2,3
175,2.4871124854454627,PRUNED,0:00:00.102169,0.0036047172636308167,122,2,3
176,2.3726291145597185,PRUNED,0:00:00.100581,0.002496530598949379,111,2,3
177,1.3253434340159098,PRUNED,0:00:00.321999,0.0064408560155250994,101,3,3
178,0.01751204952597618,COMPLETE,0:00:05.641170,0.006684397286978114,36,2,3
179,0.017551396042108536,COMPLETE,0:00:06.440152,0.006767108344920106,31,2,3
180,0.5977999028460733,PRUNED,0:00:01.923628,0.006326953906366318,53,2,3
181,0.4274004130907681,PRUNED,0:00:06.029438,0.006080871366722439,33,2,3
182,0.01751057058572769,COMPLETE,0:00:04.211126,0.006041956978247798,81,4,3
183,0.48433399984711095,PRUNED,0:00:02.657549,0.006319958928326109,79,4,3
184,2.2041722034153186,PRUNED,0:00:00.156811,0.003949696779653834,79,4,3
185,2.5124728168760027,PRUNED,0:00:00.086450,0.02013693436907704,240,4,3
186,0.4809534763512404,PRUNED,0:00:06.917613,0.009185007523387042,33,4,3
187,1.3288216124410215,PRUNED,0:00:00.528412,0.009039253815726128,65,4,3
188,2.3670297384262087,PRUNED,0:00:00.170901,2.0473466228694783e-06,78,4,3
189,1.1940772533416748,PRUNED,0:00:00.561041,0.006238406630319653,60,4,3
190,2.280812680721283,PRUNED,0:00:00.097743,0.007003533932982567,204,4,3
191,0.5057348972558975,PRUNED,0:00:03.415280,0.004103180864880568,30,2,3
192,0.5581566592057546,PRUNED,0:00:01.176586,0.008919059932076319,63,2,3
193,0.9807118858609881,PRUNED,0:00:00.333290,0.009253003097899908,108,2,3
194,0.505280189315478,PRUNED,0:00:04.585735,0.004166022620822149,20,2,3
195,0.017333155497908592,COMPLETE,0:00:08.594358,0.004030325272349698,21,2,3
196,2.3512717564900716,PRUNED,0:00:00.135623,0.00020071842858886233,103,4,3
197,2.2497128804524738,PRUNED,0:00:00.140889,0.0033734912997419294,103,4,3
198,0.017667626962065697,COMPLETE,0:00:08.930639,0.004093500545847973,31,4,3
199,2.2651978135108948,PRUNED,0:00:00.123313,0.004093990060836241,125,4,3
200,0.017173562198877335,COMPLETE,0:00:09.687401,0.004033314650143367,30,4,3
201,0.017686018720269203,COMPLETE,0:00:13.575477,0.005214703239382137,20,4,3
202,0.01779954507946968,COMPLETE,0:00:11.532491,0.0051627152941854946,25,4,3
203,0.017452485859394073,COMPLETE,0:00:14.306508,0.004917730435304461,19,4,3
204,0.5699789997028268,PRUNED,0:00:03.173763,0.005027309462209984,13,4,2
205,0.5714423728711677,PRUNED,0:00:01.087461,0.005215659553814229,46,4,2
206,1.1534618279513191,PRUNED,0:00:00.665495,0.002637018435916018,44,4,3
207,1.0085538289239329,PRUNED,0:00:01.531239,0.012200303477876925,24,4,3
208,2.311362453869411,PRUNED,0:00:00.094328,0.007544303702902275,112,2,3
209,0.5185693349780106,PRUNED,0:00:02.509652,0.011153354902924866,37,2,3
210,0.018059927970170975,COMPLETE,0:00:12.502410,0.005627105523836842,14,2,3
211,0.47287569929133444,PRUNED,0:00:09.812805,0.00564070562172843,11,2,3
212,0.017753982916474342,COMPLETE,0:00:10.020313,0.0030248159037607803,18,2,3
213,0.017396217212080956,COMPLETE,0:00:13.407590,0.002875998634959861,13,2,3
214,0.017328079789876938,COMPLETE,0:00:13.350187,0.0030291116391568266,21,4,3
215,0.017153874039649963,COMPLETE,0:00:20.524404,0.0032208794465366573,13,4,3
216,0.017378127202391624,COMPLETE,0:00:15.435282,0.0030183064706131835,17,4,3
217,0.017573190852999687,COMPLETE,0:00:09.884354,0.0018694992979877345,28,4,3
218,0.017347631976008415,COMPLETE,0:00:13.760560,0.0030896422762450785,19,4,3
219,0.017638426274061203,COMPLETE,0:00:10.110958,0.003802857202115073,27,4,3
220,0.5659109942358116,PRUNED,0:00:02.789714,0.0019000346601623348,26,4,3
221,0.5493123010947154,PRUNED,0:00:03.457213,0.0017435497215670386,23,4,3
222,0.4932834258765582,PRUNED,0:00:23.709412,0.003499947146883804,5,4,3
223,0.017654133960604668,COMPLETE,0:00:36.092161,0.002477791425418239,7,4,3
224,0.017423272132873535,COMPLETE,0:00:48.203701,0.0020486831357201477,5,4,3
225,0.017327629029750824,COMPLETE,0:00:15.641834,0.0023358276336507837,16,4,3
226,0.01751263067126274,COMPLETE,0:00:30.143772,0.0021649080305694408,8,4,3
227,0.01728946901857853,COMPLETE,0:00:34.655998,0.0022424518744855334,7,4,3
228,0.017537035048007965,COMPLETE,0:00:39.522955,0.002254982035024412,6,4,3
229,0.017229601740837097,COMPLETE,0:01:01.605878,0.002239605352386211,4,4,3
230,0.017343657091259956,COMPLETE,0:00:39.822086,0.0022219420003748366,6,4,3
231,0.017369667068123817,COMPLETE,0:00:14.793406,0.00219344569233116,17,4,3
232,0.017347197979688644,COMPLETE,0:00:16.998584,0.0022462923433147807,15,4,3
233,0.5391112562607635,PRUNED,0:00:04.730016,0.002163856629940719,17,4,3
234,0.01746430993080139,COMPLETE,0:00:22.267150,0.0018195629787183863,11,4,3
235,0.017609359696507454,COMPLETE,0:00:15.702561,0.0020991280387301727,16,4,3
236,0.01747536100447178,COMPLETE,0:00:31.485018,0.0019621474352842934,8,4,3
237,0.017437206581234932,COMPLETE,0:00:26.793954,0.0016313913502580808,9,4,3
238,0.01723288744688034,COMPLETE,0:00:27.315846,0.0018160544747846145,9,4,3
239,0.3752364003718299,PRUNED,0:00:23.517669,0.001595447228647086,10,4,3
240,0.017300743609666824,COMPLETE,0:00:26.962103,0.001518682822491135,9,4,3
241,0.01719660311937332,COMPLETE,0:00:22.227872,0.0015989886724618405,11,4,3
242,0.017324788495898247,COMPLETE,0:00:29.648576,0.0016269249828389596,8,4,3
243,0.01742730662226677,COMPLETE,0:00:21.066224,0.0015606021473102115,12,4,3
244,0.017446046695113182,COMPLETE,0:00:21.128189,0.0016066501240780476,12,4,3
245,1.9238186805478987,PRUNED,0:00:00.676834,0.0009906419439606254,12,4,3
246,0.42306808267263757,PRUNED,0:00:20.025708,0.001547972896215943,10,4,3
247,1.9232633588134602,PRUNED,0:00:00.540174,0.001416984360661529,16,4,3
248,0.49313649054496517,PRUNED,0:00:29.128694,0.0028271902927187727,4,4,3
249,0.453216731488224,PRUNED,0:00:31.383366,0.001636091531907002,4,4,3
250,0.017352836206555367,COMPLETE,0:00:58.248764,0.001621785281976532,4,4,3
251,0.4824419459227913,PRUNED,0:00:29.324849,0.0016346181704746927,4,4,3
252,0.01743985339999199,COMPLETE,0:00:58.231414,0.001645676912665592,4,4,3
253,1.9074998586074166,PRUNED,0:00:00.674635,0.001145984902372744,13,4,3
254,0.01733948476612568,COMPLETE,0:01:01.433013,0.0011358906956699967,4,4,3
255,2.2455287943868076,PRUNED,0:00:00.416920,0.0007435633127982657,22,4,3
256,0.4577946946174906,PRUNED,0:00:26.085590,0.0014580175668412584,5,4,3
257,0.5255115553486667,PRUNED,0:00:13.979881,0.0011323418375939016,5,4,3
258,1.9905054167092564,PRUNED,0:00:00.485406,0.0013093161992303382,18,4,3
259,2.051788851778994,PRUNED,0:00:00.544570,0.0009770075058402044,16,4,3
260,0.4814287398335518,PRUNED,0:00:23.735948,0.0016424981196996701,5,4,3
261,0.5524482762889017,PRUNED,0:00:03.118421,0.002607363225284617,19,4,3
262,0.37993113780133075,PRUNED,0:00:16.444440,0.0028487791192136646,14,4,3
263,0.551632858812809,PRUNED,0:00:04.755563,0.0015590990941781338,12,4,3
264,0.017530351877212524,COMPLETE,0:00:19.090893,0.002751458952762897,13,4,3
265,0.5307778896391392,PRUNED,0:00:05.173529,0.002618007136717882,15,4,3
266,0.4154591710865498,PRUNED,0:00:12.660050,0.002614281242655735,15,4,3
267,1.868391342163086,PRUNED,0:00:00.452835,0.0022392142911993006,20,4,3
268,0.4076464289138394,PRUNED,0:00:18.355664,0.0030634940907431933,12,4,3
269,0.017255669459700584,COMPLETE,0:00:24.082079,0.0020825396091617957,10,4,3
270,1.9075033033595366,PRUNED,0:00:00.409996,0.002128250969952896,22,4,3
271,2.0919641931267345,PRUNED,0:00:00.762696,0.0005760018906177375,11,4,3
272,1.183631763957879,PRUNED,0:00:01.534835,0.001228780331561897,11,4,3
273,1.8814723038975196,PRUNED,0:00:00.462891,0.002010164880967077,19,4,3
274,0.017061080783605576,COMPLETE,0:00:24.391172,0.0030683972156778177,10,4,3
275,0.5846272178944325,PRUNED,0:00:05.026387,0.0011175582984338907,10,4,3
276,0.01720704510807991,COMPLETE,0:00:10.840891,0.003362926357050418,24,4,3
277,0.536980947900203,PRUNED,0:00:03.746633,0.0032758853538223938,24,4,3
278,0.3783825168373601,PRUNED,0:00:22.614150,0.0018252385341259365,10,4,3
279,2.003067158883618,PRUNED,0:00:00.381693,0.0018412995313567824,24,4,3
280,1.8514048482280179,PRUNED,0:00:00.937360,0.0008822242568574115,9,4,3
281,0.3693681098520756,PRUNED,0:00:25.264525,0.0022783452048709013,9,4,3
282,0.4136851151143351,PRUNED,0:00:13.558211,0.002201060931005558,16,4,3
283,1.2190688374367626,PRUNED,0:00:00.989028,0.0023168077179505494,17,4,3
284,0.017664918676018715,COMPLETE,0:00:30.076785,0.0029824706466146313,8,4,3
285,0.6026274175711082,PRUNED,0:00:02.003848,0.003249288397101659,21,4,3
286,0.5276650874547555,PRUNED,0:00:03.649762,0.002990613990848812,21,4,3
287,1.948846282703536,PRUNED,0:00:00.348950,0.002481429850769926,27,4,3
288,1.093459923421183,PRUNED,0:00:01.042676,0.002098327526805579,16,4,3
289,0.49359834669943314,PRUNED,0:00:13.327078,0.003069146823921331,9,4,3
290,0.495278787909336,PRUNED,0:00:11.829215,0.002003295320264738,8,4,3
291,0.017582470551133156,COMPLETE,0:00:33.212931,0.0022090823729423313,8,4,3
292,0.45871273676554364,PRUNED,0:00:28.099241,0.0031319142257640277,8,4,3
293,0.4562011773597045,PRUNED,0:00:14.165671,0.003166103638160768,9,4,3
294,0.45415110489533794,PRUNED,0:00:19.837559,0.0034338026413327154,8,4,3
295,0.8334441614407365,PRUNED,0:00:05.782183,0.0035434730281181854,4,4,3
296,0.649661320251643,PRUNED,0:00:07.824250,0.0032389343448933996,4,4,3
297,1.7918059380464657,PRUNED,0:00:01.963045,0.00043820113222264683,4,4,3
298,1.8477375352824177,PRUNED,0:00:00.338933,0.0036279376898213744,28,4,3
299,0.017403336241841316,COMPLETE,0:00:16.250670,0.003165339245818805,17,4,3
300,1.152555718340657,PRUNED,0:00:01.013910,0.0028003230775355843,17,4,3
301,1.9907987700267271,PRUNED,0:00:00.519270,0.0012438408069215309,17,4,3
302,1.8654513945946327,PRUNED,0:00:00.389926,0.002672529708260482,23,4,3
303,1.8943873497155996,PRUNED,0:00:00.391320,0.0024610831877214614,23,4,3
304,0.4354528272151947,PRUNED,0:00:13.056824,0.0038007304534181017,15,4,3
305,2.2556956813142106,PRUNED,0:00:00.243697,0.001336112544051155,41,4,3
306,0.4259738416969776,PRUNED,0:00:13.528410,0.003630058641671695,15,4,3
307,0.4135977470426149,PRUNED,0:00:12.710190,0.004038950627013083,16,4,3
308,0.41175985187292097,PRUNED,0:00:14.348813,0.0039082151845060914,15,4,3
309,0.4521053305268288,PRUNED,0:00:12.030382,0.0038782684625013326,15,4,3
310,1.7983387583494186,PRUNED,0:00:00.633358,0.0018852162873856854,15,4,3
311,0.44686962371674654,PRUNED,0:00:13.003534,0.003960433587654379,14,4,3
312,1.9768511123127408,PRUNED,0:00:00.392348,0.0024240848721666605,28,4,3
313,2.1353897364934284,PRUNED,0:00:00.446785,0.0009975842602334905,20,4,3
314,2.0564112847959493,PRUNED,0:00:00.468260,0.0013279921694416628,21,4,3
315,2.209770933110663,PRUNED,0:00:00.311418,0.0013207567996188672,32,4,3
316,2.219221544820209,PRUNED,0:00:00.331318,0.001384650175808396,35,4,3
317,2.0698896258376367,PRUNED,0:00:00.302475,0.0023516700208163557,35,4,3
318,2.088187675143397,PRUNED,0:00:00.288236,0.0022367381775682117,35,4,3
319,0.550100251643554,PRUNED,0:00:05.625946,0.0019426996881162406,13,4,3
320,0.017455076798796654,COMPLETE,0:00:21.984278,0.0018776329374405472,12,4,3
321,0.017589271068572998,COMPLETE,0:00:21.299311,0.0018704498416269913,12,4,3
322,0.413795533206533,PRUNED,0:00:17.577844,0.002052867868518596,11,4,3
323,1.777163895316746,PRUNED,0:00:00.767123,0.0016751918833488209,13,3,3
324,0.5077032514156834,PRUNED,0:00:08.936316,0.004220365109948859,12,4,3
325,1.9161635080973307,PRUNED,0:00:00.418831,0.0025638110636497908,25,4,3
326,0.35833731840454763,PRUNED,0:00:20.993343,0.001920187371606048,12,4,3
327,0.4831836085406042,PRUNED,0:00:30.149157,0.0016798418559081682,4,4,3
328,1.9078270897109022,PRUNED,0:00:01.959398,0.0003136144425028637,4,4,3
329,1.9578090588251749,PRUNED,0:00:00.435958,0.0016648438996338247,20,4,3
330,1.910222560605582,PRUNED,0:00:00.759856,0.0009189425865159479,11,4,3
331,1.9184449726137622,PRUNED,0:00:00.349245,0.002718943345341984,26,4,3
332,0.4942309426435505,PRUNED,0:00:11.085938,0.0018741966041001085,9,4,3
333,0.01736605353653431,COMPLETE,0:01:04.254915,0.0019072519503863003,4,4,3
334,0.017102090641856194,COMPLETE,0:01:04.306902,0.0018873462202571552,4,4,3
